City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,santa marta,11.2408,-74.199,304.2,66,20,8.05,CO,2023-11-11
79,shalqar,47.8333,59.6,279.81,73,71,5.32,KZ,2023-11-11
80,praia da vitoria,38.7333,-27.0667,294.29,94,40,7.21,PT,2023-11-11
81,bereznik,62.8551,42.7072,274.8,93,100,4.03,RU,2023-11-11
82,pacific grove,36.6177,-121.9166,286.85,53,0,2.06,US,2023-11-11
83,piti village,13.4626,144.6933,304.73,71,40,7.72,GU,2023-11-11
84,saipan,15.1355,145.701,304.54,66,40,9.26,MP,2023-11-11
85,murakami,38.2333,139.4833,283.09,68,100,6.65,JP,2023-11-11
86,shingu,33.7333,135.9833,288.97,56,98,1.97,JP,2023-11-11
87,magnolia,33.2671,-93.2393,284.75,76,100,1.79,US,2023-11-11
88,arraial do cabo,-22.9661,-42.0278,295.93,92,38,0.15,BR,2023-11-11
89,tadine,-21.55,167.8833,296.72,69,77,9.14,NC,2023-11-11
90,richards bay,-28.783,32.0377,292.96,83,0,7.6,ZA,2023-11-11
91,talnakh,69.4865,88.3972,267.71,95,100,6.05,RU,2023-11-11
92,ouro preto do oeste,-10.7481,-62.2158,300.87,57,0,1.09,BR,2023-11-11
93,whitehorse,60.7161,-135.0538,272.39,100,100,1.03,CA,2023-11-11
94,palikir - national government center,6.9248,158.1611,304.56,74,100,3.09,FM,2023-11-11
95,fuengirola,36.54,-4.6247,290.15,72,20,3.6,ES,2023-11-11
96,port augusta,-32.5,137.7667,299.53,39,11,8.8,AU,2023-11-11
97,dunlop,-35.194,149.0198,303.3,43,72,1.79,AU,2023-11-11
98,iqaluit,63.7506,-68.5145,261.42,91,100,1.35,CA,2023-11-11
99,albany,42.6001,-73.9662,279.63,60,50,2.41,US,2023-11-11
100,vieste,41.8825,16.175,289.2,66,24,10.69,IT,2023-11-11
101,nelson,-41.2833,173.2833,291.64,71,2,1.34,NZ,2023-11-11
102,malango,-2.9627,119.9001,295.46,89,97,0.48,ID,2023-11-11
103,tazovsky,67.4667,78.7,263.64,96,100,2.66,RU,2023-11-11
104,hamilton,39.1834,-84.5333,281.97,53,0,3.6,US,2023-11-11
105,hermanus,-34.4187,19.2345,290.13,79,100,1.35,ZA,2023-11-11
106,aasiaat,68.7098,-52.8699,262.54,94,99,2.76,GL,2023-11-11
107,ta`u,-14.2336,-169.5144,301.0,79,26,2.26,AS,2023-11-11
108,morondava,-20.2833,44.2833,295.46,75,0,3.31,MG,2023-11-11
109,lihue,21.9789,-159.3672,299.15,77,75,5.14,US,2023-11-11
110,ust'-kut,56.7938,105.7672,261.17,77,38,0.89,RU,2023-11-11
